timestamp_utc,seq,run_id,battery_voltage_v,battery_current_a,depth_m,imu_ax_mps2,imu_ay_mps2,imu_az_mps2,humidity_pct
2026-02-05T16:21:00.000Z,0,run01,24.824,3.149,-0.072,-0.0165,0.0101,9.7766,50.279
2026-02-05T16:21:00.100Z,1,run01,24.831,2.982,0.034,-0.0144,-0.0011,9.7911,50.13
2026-02-05T16:21:00.200Z,2,run01,24.803,3.241,-0.021,0.041,-0.0279,9.7817,51.627
2026-02-05T16:21:00.300Z,3,run01,24.77,3.528,0.023,0.0,-0.0142,9.7936,48.312
2026-02-05T16:21:00.400Z,4,run01,24.818,3.024,0.234,0.0156,-0.0053,9.8036,46.513
2026-02-05T16:21:00.500Z,5,run01,24.81,3.047,0.217,-0.0158,-0.0319,9.8351,50.314
2026-02-05T16:21:00.600Z,6,run01,24.726,3.615,-0.03,-0.0156,-0.0148,9.8004,50.562
2026-02-05T16:21:00.700Z,7,run01,24.748,3.395,0.2,0.0216,0.013,9.7624,52.979
2026-02-05T16:21:00.800Z,8,run01,24.774,3.047,0.215,-0.027,0.0285,9.8442,47.459
2026-02-05T16:21:00.900Z,9,run01,24.777,3.374,0.035,-0.0083,-0.0084,9.7849,52.309
2026-02-05T16:21:01.000Z,10,run01,24.761,3.096,0.249,0.0007,0.0151,9.8082,54.735
2026-02-05T16:21:01.100Z,11,run01,24.761,3.118,0.337,0.0022,-0.0383,9.8234,49.244
2026-02-05T16:21:01.200Z,12,run01,24.728,3.354,0.088,-0.0036,0.0132,9.816,47.418
2026-02-05T16:21:01.300Z,13,run01,24.822,2.73,0.125,0.0079,-0.0161,9.8428,49.186
2026-02-05T16:21:01.400Z,14,run01,24.79,2.81,0.335,0.0139,0.0061,9.8244,50.028
2026-02-05T16:21:01.500Z,15,run01,24.763,3.181,0.277,0.0147,-0.005,9.7842,51.128
2026-02-05T16:21:01.600Z,16,run01,24.743,3.069,0.322,-0.0197,0.0264,9.8754,48.817
2026-02-05T16:21:01.700Z,17,run01,24.702,3.49,0.318,-0.0057,-0.0175,9.8158,53.11
2026-02-05T16:21:01.800Z,18,run01,24.722,3.146,0.339,0.0239,0.0126,9.8056,47.771
2026-02-05T16:21:01.900Z,19,run01,24.777,3.017,0.184,0.0179,-0.0056,9.8389,46.522
2026-02-05T16:21:02.000Z,20,run01,24.616,3.903,0.438,-0.0275,-0.0032,9.8175,52.213
2026-02-05T16:21:02.100Z,21,run01,24.691,3.418,0.467,0.007,-0.0037,9.822,45.451
2026-02-05T16:21:02.200Z,22,run01,24.678,3.528,0.344,-0.0396,-0.0169,9.8848,49.592
2026-02-05T16:21:02.300Z,23,run01,24.721,3.103,0.379,0.0009,-0.0003,9.8017,56.235
2026-02-05T16:21:02.400Z,24,run01,24.673,3.389,0.247,0.038,-0.0013,9.8005,49.976
2026-02-05T16:21:02.500Z,25,run01,24.643,3.607,0.468,-0.019,0.0048,9.8135,47.758
2026-02-05T16:21:02.600Z,26,run01,24.683,3.25,0.491,-0.0167,0.0017,9.8421,49.885
2026-02-05T16:21:02.700Z,27,run01,24.618,3.73,0.444,0.0153,0.016,9.7648,49.898
2026-02-05T16:21:02.800Z,28,run01,24.662,3.458,0.579,-0.0309,0.0185,9.751,50.321
2026-02-05T16:21:02.900Z,29,run01,24.662,3.572,0.45,-0.0127,-0.021,9.7924,51.325
2026-02-05T16:21:03.000Z,30,run01,24.624,3.5,0.557,0.0119,0.0174,9.761,47.922
2026-02-05T16:21:03.100Z,31,run01,24.517,4.258,0.415,-0.0127,-0.0237,9.7973,53.375
2026-02-05T16:21:03.200Z,32,run01,24.596,3.719,0.531,-0.0047,0.0118,9.8251,50.49
2026-02-05T16:21:03.300Z,33,run01,24.666,3.426,0.533,0.0149,0.0124,9.7833,51.454
2026-02-05T16:21:03.400Z,34,run01,24.54,4.01,0.59,0.0084,-0.0382,9.7672,48.744
2026-02-05T16:21:03.500Z,35,run01,24.643,3.417,0.547,0.0053,0.0019,9.8121,52.573
2026-02-05T16:21:03.600Z,36,run01,24.585,3.866,0.587,-0.0068,-0.0094,9.8359,49.486
2026-02-05T16:21:03.700Z,37,run01,24.622,3.236,0.7,0.0074,-0.0152,9.7592,50.555
2026-02-05T16:21:03.800Z,38,run01,24.609,3.445,0.59,-0.0025,0.027,9.8346,48.134
2026-02-05T16:21:03.900Z,39,run01,24.563,3.922,0.49,0.0092,-0.0131,9.8345,48.006
2026-02-05T16:21:04.000Z,40,run01,24.506,4.103,0.842,-0.0099,-0.0161,9.8386,51.376
2026-02-05T16:21:04.100Z,41,run01,24.522,3.952,0.822,-0.0037,0.0015,9.8466,49.113
2026-02-05T16:21:04.200Z,42,run01,24.519,3.885,0.571,-0.0198,0.0137,9.8761,48.292
2026-02-05T16:21:04.300Z,43,run01,24.512,3.848,0.786,-0.0007,-0.0028,9.7993,48.714
2026-02-05T16:21:04.400Z,44,run01,24.553,3.513,0.684,-0.0162,0.0233,9.8133,51.398
2026-02-05T16:21:04.500Z,45,run01,24.51,3.758,0.777,-0.0223,0.0106,9.7975,48.742
2026-02-05T16:21:04.600Z,46,run01,24.512,3.854,0.797,0.0052,-0.0436,9.8101,49.765
2026-02-05T16:21:04.700Z,47,run01,24.439,4.327,0.761,0.0043,-0.0106,9.856,50.03
2026-02-05T16:21:04.800Z,48,run01,24.473,4.13,0.722,0.0157,-0.0112,9.7696,46.165
2026-02-05T16:21:04.900Z,49,run01,24.515,3.515,0.748,-0.0086,0.0096,9.7842,47.058
2026-02-05T16:21:05.000Z,50,run01,24.461,4.158,0.742,0.0082,-0.0525,9.8513,50.673
2026-02-05T16:21:05.100Z,51,run01,24.487,3.962,0.768,0.011,0.051,9.8406,48.526
2026-02-05T16:21:05.200Z,52,run01,24.448,3.89,0.861,0.0089,0.0106,9.7991,52.113
2026-02-05T16:21:05.300Z,53,run01,24.431,4.293,0.812,-0.0165,0.003,9.8356,51.934
2026-02-05T16:21:05.400Z,54,run01,24.421,4.434,0.969,0.003,0.0236,9.8202,51.438
2026-02-05T16:21:05.500Z,55,run01,24.382,4.42,1.066,0.0073,0.0469,9.855,53.64
2026-02-05T16:21:05.600Z,56,run01,24.482,3.904,0.876,0.0001,0.0174,9.8122,49.834
2026-02-05T16:21:05.700Z,57,run01,24.437,4.078,0.975,-0.0417,0.019,9.8408,51.298
2026-02-05T16:21:05.800Z,58,run01,24.391,4.285,1.017,0.0032,0.0026,9.8893,48.831
2026-02-05T16:21:05.900Z,59,run01,24.371,4.492,1.031,0.0443,-0.0028,9.8279,54.905
2026-02-05T16:21:06.000Z,60,run01,24.426,4.07,1.008,-0.0072,-0.0095,9.8115,53.967
2026-02-05T16:21:06.100Z,61,run01,24.401,4.172,1.092,-0.0146,-0.0165,9.8317,50.024
2026-02-05T16:21:06.200Z,62,run01,24.435,3.909,1.082,0.0075,-0.0137,9.799,50.773
2026-02-05T16:21:06.300Z,63,run01,24.41,3.895,0.927,0.0062,-0.027,9.8816,52.719
2026-02-05T16:21:06.400Z,64,run01,24.347,4.51,1.154,0.0239,-0.0015,9.8154,49.706
2026-02-05T16:21:06.500Z,65,run01,24.298,4.686,1.173,-0.0252,-0.0337,9.8018,48.687
2026-02-05T16:21:06.600Z,66,run01,24.362,4.27,1.025,0.0146,0.0038,9.7849,51.748
2026-02-05T16:21:06.700Z,67,run01,24.305,4.604,1.121,0.0118,-0.0007,9.8429,50.157
2026-02-05T16:21:06.800Z,68,run01,24.325,4.423,1.203,-0.0028,0.0029,9.836,50.366
2026-02-05T16:21:06.900Z,69,run01,24.384,4.132,1.13,0.0068,-0.0104,9.7951,48.331
2026-02-05T16:21:07.000Z,70,run01,24.34,4.445,1.275,0.0206,0.0615,9.8273,46.565
2026-02-05T16:21:07.100Z,71,run01,24.284,4.808,1.421,0.0174,0.0272,9.7647,50.472
2026-02-05T16:21:07.200Z,72,run01,24.309,4.346,1.122,-0.0229,-0.0249,9.8155,51.81
2026-02-05T16:21:07.300Z,73,run01,24.257,4.836,1.08,0.0164,0.0047,9.8236,49.548
2026-02-05T16:21:07.400Z,74,run01,24.424,3.591,1.265,-0.0013,-0.0122,9.8612,52.873
2026-02-05T16:21:07.500Z,75,run01,24.278,4.632,1.323,0.0015,-0.0203,9.7869,48.592
2026-02-05T16:21:07.600Z,76,run01,24.332,4.421,1.245,0.0015,-0.0268,9.7716,47.891
2026-02-05T16:21:07.700Z,77,run01,24.311,4.313,1.43,-0.003,0.0086,9.7831,49.866
2026-02-05T16:21:07.800Z,78,run01,24.288,4.439,1.167,0.0238,-0.0136,9.7699,49.835
2026-02-05T16:21:07.900Z,79,run01,24.349,3.823,1.387,-0.0017,0.0194,9.8501,51.54
2026-02-05T16:21:08.000Z,80,run01,24.286,4.361,1.274,-0.0224,0.0199,9.8565,48.45
2026-02-05T16:21:08.100Z,81,run01,24.256,4.541,1.523,-0.0079,0.0275,9.8196,52.736
2026-02-05T16:21:08.200Z,82,run01,24.222,4.884,1.567,0.0036,-0.017,9.8466,53.934
2026-02-05T16:21:08.300Z,83,run01,24.292,4.291,1.308,0.0246,0.0095,9.814,49.922
2026-02-05T16:21:08.400Z,84,run01,24.271,4.21,1.346,0.0121,0.0126,9.8071,52.499
2026-02-05T16:21:08.500Z,85,run01,24.246,4.308,1.504,-0.017,-0.0095,9.8,47.887
2026-02-05T16:21:08.600Z,86,run01,24.182,4.738,1.396,0.0497,-0.0154,9.8007,52.15
2026-02-05T16:21:08.700Z,87,run01,24.233,4.567,1.447,0.0053,0.0322,9.7636,52.095
